[Grand Theft Auto V,2014, Action, Rockstar Games, 6.06, 9.71, 0.6, 3.02, 19.39]
[Assassin's Creed Origins,2017, Action, Ubisoft, 1.22, 2.11, 0.11, 0.63, 4.06]
[Far Cry 4,2014, Shooter, Ubisoft, 1.18, 2.14, 0.11, 0.63, 4.06]
[NBA 2K16,2015, Sports, 2K Sports, 2.56, 0.66, 0.05, 0.71, 3.98]
[Far Cry 5,2018, Action, Ubisoft, 1.44, 1.73, 0.15, 0.62, 3.95]
[Battlefield 4,2013, Shooter, Electronic Arts, 1.4, 1.74, 0.19, 0.62, 3.94]
[Gran Turismo Sport,2017, Racing, Sony Interactive Entertainment, 0.63, 2.35, 0.24, 0.54, 3.77]
[Assassin's Creed Syndicate,2015, Action, Ubisoft, 0.9, 2.06, 0.08, 0.55, 3.6]
[NBA 2K17,2016, Sports, 2K Sports, 2.28, 0.59, 0.03, 0.63, 3.52]
[Mortal Kombat X,2015, Fighting, Warner Bros. Interactive Entertainment, 1.94, 0.94, 0, 0.61, 3.49]
[FIFA Soccer 14,2013, Sports, EA Sports, 0.62, 2.18, 0.12, 0.51, 3.43]
[The Elder Scrolls V: Skyrim,2016, Role-Playing, Bethesda Softworks, 1.24, 1.5, 0.08, 0.54, 3.36]
[Watch Dogs 2,2016, Action, Ubisoft, 0.98, 1.74, 0.12, 0.52, 3.36]
[NBA 2K18,2017, Sports, 2K Sports, 2.13, 0.57, 0.04, 0.59, 3.34]
[Resident Evil VII: Biohazard,2017, Action, Capcom, 0.88, 1.56, 0.41, 0.46, 3.31]
[Madden NFL 16,2015, Sports, EA Sports, 2.39, 0.31, 0, 0.61, 3.3]
[Madden NFL 17,2016, Sports, EA Sports, 2.3, 0.37, 0, 0.6, 3.28]
[Middle-Earth: Shadow of Mordor,2014, Action, Warner Bros. Interactive Entertainment, 1.03, 1.6, 0.05, 0.51, 3.19]
[Assassin's Creed IV: Black Flag,2013, Action-Adventure, Ubisoft, 1.07, 1.55, 0.06, 0.51, 3.19]
[Tom Clancy's Ghost Recon Wildlands,2017, Shooter, Ubisoft, 1.07, 1.35, 0.22, 0.47, 3.12]
[Bloodborne,2015, Role-Playing, Sony Computer Entertainment, 1.3, 1.05, 0.28, 0.48, 3.11]
[Metal Gear Solid V: The Phantom Pain,2015, Action, Konami Digital Entertainment, 0.97, 1.15, 0.5, 0.42, 3.04]
[Killzone: Shadow Fall,2013, Shooter, Sony Computer Entertainment, 0.89, 1.58, 0.08, 0.47, 3.02]
[inFAMOUS: Second Son,2014, Action-Adventure, Sony Computer Entertainment, 1.35, 1.09, 0.07, 0.5, 3.01]
[Doom (2016),2016, Shooter, Bethesda Softworks, 0.93, 1.48, 0.04, 0.46, 2.92]
[Mafia III,2016, Action-Adventure, 2K Games, 0.72, 1.67, 0.04, 0.44, 2.87]
[Diablo III,2014, Role-Playing, Blizzard Entertainment, 0.83, 1.48, 0.08, 0.44, 2.82]
[Far Cry: Primal,2016, Action-Adventure, Ubisoft, 0.63, 1.61, 0.07, 0.41, 2.73]
[Need for Speed (2015),2015, Racing, Electronic Arts, 0.59, 1.66, 0.06, 0.41, 2.72]
[Madden NFL 18,2017, Sports, EA Sports, 1.73, 0.42, 0, 0.47, 2.62]
[NBA 2K15,2014, Sports, 2K Sports, 1.49, 0.55, 0.01, 0.44, 2.49]
[Dying Light,2015, Action, Warner Bros. Interactive, 1.18, 0.74, 0.13, 0.4, 2.45]
[Dark Souls III,2016, Role-Playing, Namco Bandai Games, 1, 0.63, 0.44, 0.34, 2.42]
[Ratchet & Clank (2016),2016, Platform, Sony Interactive Entertainment, 0.97, 0.97, 0.06, 0.39, 2.38]
[DriveClub,2014, Racing, Sony Computer Entertainment, 0.37, 1.63, 0.02, 0.36, 2.37]
[Uncharted: The Lost Legacy,2017, Action, Sony Interactive Entertainment, 0.58, 1.38, 0.04, 0.36, 2.37]
[Dragon Age III: Inquisition,2014, Role-Playing, Electronic Arts, 1.07, 0.8, 0.08, 0.38, 2.34]
[No Man's Sky,2016, Action-Adventure, Hello Games, 0.89, 0.97, 0.04, 0.37, 2.26]
